Individual	Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
274	48.2	-0.157889	-0.514487	0.550465	0.137645	-0.0303239	-0.149534	-0.127889	-0.348181	-0.0347032	0.136532
275	48.2	-0.00640324	-0.000566582	-0.0163017	-0.0148193	0.0284431	0.113124	-0.0250783	0.0177638	-0.0165838	-0.00893719
276	48.2	0.00785184	0.00583239	0.020342	0.0229972	-0.0114698	-0.056786	0.014965	-0.0143929	-0.0527282	0.0157513
277	48.2	-0.0694466	-0.0457227	0.0226006	-0.182551	0.00615244	-0.309519	-0.0780572	0.114159	0.496893	-0.160443
278	48.2	-0.0533362	0.0392279	-0.00992806	-0.063886	0.0874963	0.0389198	0.0826311	-0.0753018	0.0119679	0.02054
279	48.2	0.0307796	0.0607206	0.00917329	0.00834783	0.0209481	-0.0836661	0.0476874	0.00795575	0.00202845	0.0677543
280	48.2	-0.00836916	-0.0191529	-0.0452973	0.000924487	0.027607	0.0566697	-0.00757868	-0.0048299	0.0341888	0.00638276
281	48.2	0.00378299	0.0108059	0.135684	0.167986	0.143936	0.109756	0.149059	0.0793374	-0.144208	-0.228053
283	48.2	-0.0485525	-0.0666012	-0.025918	0.0133732	0.0506732	0.0461704	0.00856524	0.0130544	-0.0149443	-0.0112963
284	48.2	-0.0200871	-0.0257724	0.0472832	-0.138293	-0.0105385	0.0259195	0.125125	-0.0334739	0.0387051	0.19986
285	48.2	-0.0567947	0.0343182	0.10837	-0.0303274	-0.0265087	0.0196381	0.0541234	-0.0457307	-0.0291096	-0.124382
286	48.2	-0.0399263	0.00246247	-0.0476272	0.0446367	-0.000849583	0.0721945	0.0395766	0.100748	-0.0585399	0.0482634
290	48.4	-0.0463592	0.0316633	0.00978722	0.0216224	-0.0151742	0.0693664	-0.0817498	0.190211	-0.100238	-0.144859
291	48.4	0.0584198	-0.072625	0.0594282	-0.48227	0.309505	-0.12845	0.181105	0.0857854	0.0276682	0.0176124
293	48.4	-0.0235478	-0.0474459	0.0891031	0.0436969	0.111054	0.108061	-0.133097	-0.0301689	-0.0929296	0.010284
295	48.4	0.0189664	0.00271659	-0.0423088	0.0434465	-0.0479749	0.0100224	0.0618043	-0.0289018	0.0369355	-0.0815939
296	48.4	-0.0348097	-0.0453958	0.00187385	-0.0120302	-0.00798051	0.0211732	-0.0535459	0.0128704	-0.00328757	-0.092735
297	48.4	0.0163959	-0.0460215	0.0155799	-0.140324	-0.00503295	-0.0215314	0.0222787	-0.201525	-0.00908773	0.13423
298	48.4	7.53E-05	0.00536657	-0.00403613	-0.014556	0.024546	0.0139193	-0.00891788	-0.0130242	-0.0131423	-0.00523744
299	48.4	0.0683879	-0.0611643	-0.0215508	0.0310928	0.0513285	0.0328485	-0.0608223	0.0604899	0.0615186	-0.00556486
300	48.4	0.00304733	0.0815359	0.0486669	0.0651694	0.11771	0.111035	0.0875957	-0.152633	0.102315	-0.135555
301	48.4	0.0172976	-0.0231982	0.0196866	0.0423297	0.0053744	0.0838009	-0.0311225	-0.0057984	0.134453	0.0365787
304	48.4	-0.00286896	-0.00586369	-0.063542	0.0931369	0.0602562	-0.0263835	0.0380681	0.0225265	0.0389848	0.000322792
305	48.4	0.0220392	-0.0488907	-0.079706	0.0232017	0.0608323	-0.0814375	-0.0889724	-0.0414979	-0.0942803	-0.102707
322	48.4	0.0422658	0.0306032	-0.0244906	0.00232046	0.0109747	0.121524	-0.0753849	-0.00974033	-0.0367451	0.00828751
332	48.4	-0.000667999	0.0749049	-0.058198	-0.0269237	0.0465139	-0.0522474	-0.0508668	0.0192892	0.0669831	-0.140376
335	48.4	-0.00718768	0.0118947	-0.00439401	0.0110643	0.00393127	0.0664513	-0.00822208	0.0356961	-0.028277	0.0208129
337	48.4	-0.00492478	0.00774173	0.0227582	0.0227551	-0.0104109	0.0332557	0.0406765	-0.0219304	0.00357242	-0.0890045
339	48.4	0.0109847	-0.00379979	-0.00526242	0.00745652	0.0235243	-0.000738351	-0.0102124	-0.00576249	-0.00171941	0.000160675
342	48.4	-0.0981588	-0.0229336	-0.103128	-0.0231459	-0.0808987	0.0532085	-0.100863	0.0856694	0.0251891	0.066766
348	48.4	-0.090725	0.220906	0.183325	-0.0881782	-0.477199	-0.0275574	-0.15772	0.147996	0.0915191	0.356584
349	48.4	0.0152004	0.0792008	0.0166762	-0.086034	0.0256257	-0.10323	0.0586345	0.0575956	0.00638153	-0.0244954
353	48.4	0.0088528	-0.05374	0.0460584	-0.109594	0.0778686	-0.0754259	0.0297069	0.0758358	0.0604123	-0.154879
354	48.4	0.0114268	-0.035119	-0.0121403	-0.00597143	0.00634125	-0.0353399	-0.0619189	-0.00953888	0.048686	0.0403983
357	48.4	-0.0340372	0.00866145	-0.0273465	0.0278147	-0.0222657	0.00283802	-0.0192862	-0.0184915	-0.0175528	0.0186024
358	48.4	-0.0167616	-0.0347806	0.0122533	-0.0133347	0.0159592	0.00662989	0.00314851	-0.000310612	-0.0448968	0.017991
388	48.4	-0.0301929	0.0973472	0.149626	0.144231	-0.1185	-0.188266	-0.0907685	0.143141	-0.18859	-0.251963
391	48.4	-0.0210084	0.00958291	0.0275234	0.0236126	-0.0172987	-0.0615108	0.112351	0.11251	0.0823675	-0.111318
